Pitch (deg), Roll(deg), Bearing (deg from N), X rate (deg/s), Y rate (deg/s), Z rate (deg/s)
-3.7291, 0.0351, 40.4928, -0.053, 0.114, -0.084
-3.7280, 0.0315, 44.4575, 0.061, 0.046, -0.092
-3.6022, 0.0387, 43.4667, -0.092, 0.084, -0.160
-3.6876, -0.0562, 41.8415, 0.000, 0.015, -0.084
-3.8669, 0.0351, 41.8415, 0.015, -0.038, -0.061
-3.6879, 0.0631, 41.2579, -0.069, 0.137, -0.137
-3.7167, -0.0105, 41.8780, 0.015, 0.076, -0.076
-3.7259, 0.1089, 42.1663, -0.015, 0.114, -0.130
-3.6310, 0.1512, 43.1847, 0.008, 0.107, -0.107
-3.8292, 0.0946, 43.1847, 0.023, 0.099, -0.053
-3.7388, 0.0070, 40.8203, -0.114, 0.130, -0.160
-3.8248, 0.0385, 40.8203, -0.046, 0.160, -0.107
-3.5575, 0.0563, 42.4911, 0.076, 0.031, 0.046
-3.6165, -0.0175, 43.1189, -0.008, 0.092, 0.031
-3.7168, 0.0701, 43.1741, 0.008, 0.046, -0.069
-3.6918, 0.0631, 42.2934, 0.061, 0.130, -0.069
-3.7360, -0.0420, 42.5058, -0.031, 0.114, -0.198
-3.7677, -0.0176, 42.7900, 0.023, 0.076, 0.031
-3.6926, -0.0701, 42.7900, 0.008, 0.015, 0.008
-3.7157, 0.0493, 42.7767, -0.015, 0.130, -0.229
-3.6599, 0.0561, 42.0808, 0.038, 0.145, -0.061
-3.7759, 0.0035, 41.1480, 0.000, 0.107, -0.061
-3.7231, 0.0000, 43.1633, -0.038, 0.198, -0.130
-3.5822, -0.0524, 42.8162, 0.008, 0.069, -0.061
-3.7647, -0.0105, 42.8162, 0.046, 0.023, -0.061
-3.5545, -0.0526, 42.8668, -0.092, 0.160, -0.160
-3.6664, 0.0281, 42.4763, 0.000, 0.099, -0.061
-3.7516, 0.0668, 41.8415, 0.038, 0.183, -0.114
-3.6406, -0.0070, 43.4849, -0.023, 0.076, -0.237
-3.7859, -0.0947, 42.9032, 0.084, -0.038, -0.038
-3.6472, -0.0316, 42.2153, -0.076, -0.015, -0.191
-3.6819, -0.0316, 42.2153, -0.053, 0.153, -0.092
-3.6843, -0.0070, 42.8418, 0.000, -0.031, -0.130
-3.6488, 0.0596, 44.1175, -0.023, 0.145, -0.191
-3.7108, -0.0738, 40.4928, 0.053, 0.053, -0.114
-3.7878, -0.0841, 41.9827, -0.053, 0.038, -0.084
-3.7366, -0.0245, 42.8162, 0.023, 0.099, -0.145
-3.7716, 0.1049, 42.1663, 0.145, 0.031, 0.137
-3.6978, -0.0105, 42.1663, -0.092, 0.053, -0.061
-3.6673, -0.0527, 43.7695, 0.000, 0.099, -0.153
-3.7847, 0.1332, 42.8162, -0.084, 0.084, 0.092
-3.6407, 0.0280, 42.1991, -0.069, 0.137, -0.053
-3.6078, -0.0140, 41.4760, -0.061, 0.153, -0.168
-3.7030, 0.0000, 42.8162, -0.038, 0.053, -0.114
-3.7653, 0.0455, 40.8925, 0.061, 0.053, -0.137
-3.8010, 0.1996, 40.8925, 0.008, 0.099, -0.092
-3.8076, 0.0385, 42.8543, -0.008, 0.145, -0.076
-3.7259, 0.0246, 41.5170, -0.092, 0.015, -0.114
-3.7854, 0.0491, 43.1414, 0.023, 0.130, -0.160
-3.6431, -0.0492, 41.5372, -0.130, 0.145, -0.069
-3.6725, 0.1159, 41.5571, -0.084, 0.000, 0.061
-3.6617, 0.0105, 42.7633, 0.046, 0.099, -0.122
-3.6603, 0.0456, 42.7633, 0.000, 0.153, -0.061
-3.6435, 0.0176, 41.5768, -0.031, 0.069, 0.008
-3.8700, 0.1439, 42.5204, 0.031, 0.137, -0.153
-3.8141, 0.0700, 43.4849, -0.053, 0.053, -0.015
-3.7161, -0.0175, 42.8290, 0.053, 0.076, -0.092
-3.7092, 0.0105, 40.5958, -0.015, 0.130, -0.031
-3.7285, 0.0560, 40.8925, 0.015, 0.092, -0.053
-3.8255, -0.0350, 40.8925, -0.023, 0.175, -0.122
-3.6359, -0.0280, 42.8418, 0.069, 0.175, -0.023
-3.6541, -0.1405, 40.9393, -0.023, 0.137, -0.145
-3.5742, -0.0210, 41.8780, -0.023, 0.122, -0.099
-3.6668, -0.0455, 42.1828, 0.053, 0.053, -0.084
-3.8734, -0.0596, 42.4763, 0.053, 0.191, -0.015
-3.6549, 0.0841, 42.8032, -0.038, 0.046, 0.008
-3.7514, 0.0140, 42.8032, -0.114, 0.237, -0.084
-3.7245, 0.1122, 43.1414, -0.023, 0.008, -0.122
-3.5971, 0.0843, 41.1253, 0.000, 0.145, 0.000
-3.6489, -0.0842, 40.2214, -0.008, 0.046, -0.107
-3.6977, 0.0949, 42.7900, -0.099, 0.122, -0.336
-3.6301, -0.0281, 42.2153, 0.061, 0.084, -0.008
-3.7323, 0.0140, 44.4355, 0.023, 0.114, -0.061
-3.7539, 0.0632, 44.4355, 0.000, 0.076, -0.084
-3.6654, -0.0560, 44.1175, 0.107, 0.107, 0.099
-3.6173, -0.0350, 43.7994, -0.031, 0.031, -0.137
-3.6916, 0.0351, 41.1927, -0.061, 0.168, -0.031
-3.6428, 0.0245, 40.9850, 0.038, 0.046, 0.023
-3.7007, 0.1332, 41.1253, -0.099, 0.061, -0.023
-3.6084, 0.0420, 41.1253, 0.038, 0.069, -0.137
-3.4417, 0.0281, 42.8162, -0.023, 0.137, -0.114
-3.5840, -0.0949, 42.1663, 0.023, 0.137, 0.008
-3.8066, 0.0421, 44.1063, 0.031, 0.099, -0.122
-3.7131, 0.0561, 41.1253, -0.008, 0.000, -0.076
-3.5888, 0.0421, 43.1847, -0.046, 0.076, -0.008
-3.7366, 0.0140, 39.9562, -0.069, 0.092, -0.046
-3.7215, -0.0771, 39.9562, -0.038, 0.145, -0.130
-3.8064, -0.0842, 42.1828, 0.046, 0.046, -0.069
-3.6169, 0.0140, 41.5372, -0.031, 0.046, -0.122
-3.6191, -0.0702, 44.7722, 0.000, 0.191, -0.114
-3.6296, 0.1368, 41.6156, -0.053, 0.137, -0.099
